"id","cluster","cluster_name","feature","user_story","expected_behaviour","evidence","impl_status","phase","test_status","errors","fix_status","retest_status","notes"
"F-C02-01","C02","Toolbar & text formatting","Inline mark formatting (bold/italic/underline/code)","As a writer, I want to toggle bold, italic, underline, and inline code on my selection, so that I can emphasize and format text inline.","Clicking the Bold/Italic/Underline/Code toolbar buttons (or invoking runToolbarCommand with id 'bold'|'italic'|'underline'|'code') runs editor.chain().focus().toggleBold()/toggleItalic()/toggleUnderline()/toggleCode().run(), which adds the mark to the current selection if absent or removes it if present. Each is rendered as an icon button in the 'Inline formatting' (marks) group.","packages/editor-core/src/commands.ts:27-38; packages/editor-core/src/commands.ts:100-107; packages/editor-core/src/toolbar.ts:14-17; apps/web/components/editor/EditorWorkspace.tsx:95-97,958","implemented","tested","pass","","none","pending",""
"F-C02-02","C02","Toolbar & text formatting","Heading levels 1-3 toggle","As a writer, I want to convert the current block to/from a heading level 1, 2, or 3, so that I can structure my document.","Clicking Heading 1/2/3 (ids 'heading-1'|'heading-2'|'heading-3') runs editor.chain().focus().toggleHeading({ level }).run() with level 1, 2, or 3, converting the current block to that heading or back to a paragraph if it is already that heading level. Rendered in the 'Structure' (blocks) group.","packages/editor-core/src/commands.ts:39-41,108-113; packages/editor-core/src/toolbar.ts:19-21,46-51","implemented","tested","pass","","none","pending",""
"F-C02-03","C02","Toolbar & text formatting","List toggles (bullet, ordered, checklist)","As a writer, I want to toggle bullet, numbered, and checkbox lists, so that I can organize items.","Bullet List runs toggleBulletList(), Ordered List runs toggleOrderedList(), and Checklist runs toggleTaskList() (the 'checklist' id maps to TipTap's task list). Each wraps/unwraps the current block(s) in the corresponding list type. Rendered in the 'Structure' (blocks) group.","packages/editor-core/src/commands.ts:42-50,114-119; packages/editor-core/src/toolbar.ts:22-24,52-57","implemented","tested","pass","","none","pending",""
"F-C02-04","C02","Toolbar & text formatting","Insert table","As a writer, I want to insert a default table, so that I can add tabular content.","Clicking Insert Table (id 'insert-table') runs editor.chain().focus().insertTable({ rows: 3, cols: 3, withHeaderRow: false }).run(), inserting a 3x3 table with no header row at the cursor. Because it is an insertion (not a toggle), its active state always returns false.","packages/editor-core/src/commands.ts:75-79,120-121; packages/editor-core/src/toolbar.ts:25,58-59","implemented","tested","pass","","none","pending",""
"F-C02-05","C02","Toolbar & text formatting","Link set/unset with URL prompt and normalization","As a writer, I want to add or remove a hyperlink on my selection by entering a URL, so that I can link to external resources.","Clicking the Link button calls handleLinkCommand, which reads the existing link href, opens window.prompt('Link URL', currentHref). Cancel (null) aborts. An empty/whitespace result runs runToolbarAction(editor,'link') with no href, which calls unsetLink() (extendMarkRange('link').unsetLink()). A non-empty value is normalized (http(s)/mailto kept as-is, otherwise prefixed with 'https://') then setLink({ href }) is applied over the extended link mark range. Active state = editor.isActive('link').","apps/web/components/editor/EditorWorkspace.tsx:84-93,544-555,952-961; packages/editor-core/src/commands.ts:69-74,122-128; packages/editor-core/src/toolbar.ts:18,44-45","implemented","tested","pass","","none","pending",""
"F-C02-06","C02","Toolbar & text formatting","Toolbar active-state highlighting and accessibility","As a user, I want toolbar buttons to visually indicate when the current selection has that formatting, so that I know the active state.","For each button, isToolbarButtonActive(editor, id) maps to editor.isActive('bold'/'italic'/'underline'/'code'/'link') or editor.isActive('heading',{level}) or isActive('bulletList'/'orderedList'/'taskList'); 'insert-table' is always false. The EditorToolbar sets data-active, aria-pressed, and (in ToolbarButton) applies a blue highlight style when active. Buttons are disabled until an editor instance exists (disabled={!ready}).","packages/editor-core/src/toolbar.ts:34-63; apps/web/components/editor/panels/EditorToolbar.tsx:75,84-91; packages/ui/src/ToolbarButton.tsx:23-26,42-58","implemented","verified","partial","[a11y/low] Active-state mapping is correct in isToolbarButtonActive (toolbar.ts:34-63): each id maps to the right isActive() check and insert-table is always false. The live toolbar (panels/EditorToolbar.tsx:80-95) renders bare <button class='lash-icon-btn'> with data-active and aria-pressed, NOT the ToolbarButton.tsx component, so the inline activeStyles in ToolbarButton.tsx:23-26 is dead code; the active highlight depends entirely on a CSS rule. That CSS rule DOES exist (globals.css:836-840: .lash-icon-btn[data-active='true'],[aria-pressed='true'] sets coral background/color), so the highlight is functional — it is just driven by CSS, not by ToolbarButton.tsx. Secondary a11y issue: aria-pressed='false' is set on the insert-table action button (EditorToolbar.tsx:90), which is not a toggle, so a screen reader announces it as an unpressed toggle, which is semantically inaccurate.","fixed","pass",""
"F-C02-07","C02","Toolbar & text formatting","Toolbar grouping, icons, and shortcut tooltips","As a user, I want toolbar buttons grouped with icons and keyboard-shortcut tooltips shown per platform, so that the toolbar is discoverable.","Buttons are split into 'Inline formatting' (marks) and 'Structure' (blocks) groups via toolbarGroups. Each renders an SVG Icon (COMMAND_ICONS map) falling back to a text glyph. The hotkey string is converted by shortcutHint to a per-platform label (Mod->Ctrl/Cmd, Alt->Opt, Shift symbol) and shown as title/data-tooltip e.g. 'Bold (Ctrl+B)'. These hotkey strings are DISPLAY metadata only; actual keystroke handling relies on the underlying TipTap mark/heading/list extensions' built-in keymaps, and the Link 'Mod+K' label has no wired keybinding to the prompt flow.","packages/editor-core/src/toolbar.ts:13-26,65-68; apps/web/components/editor/panels/EditorToolbar.tsx:29-53,72-99; apps/web/components/editor/EditorWorkspace.tsx:95-97; packages/editor-core/src/extensions/chip.ts:431-441","partial","fixed","partial","[spec-error/medium] Grouping, icons, and tooltips are correct: toolbar.ts:13-26 tags each button group=marks/blocks; EditorToolbar.tsx:29-42 maps all 12 ids to IconName values that all exist in components/shell/Icon.tsx (IconName union lines 34-45: bold/italic/underline/code/link/h1/h2/h3/list-bullet/list-numbered/list-check/table), with a text-glyph fallback (EditorToolbar.tsx:94); shortcutHint (EditorToolbar.tsx:44-53) builds per-platform tooltips. The story's expected_behaviour is mis-derived: it claims hotkeys are display-only and that Mod+K is not wired to the prompt flow. In reality LashKeyboardShortcuts (base.ts:61-85) explicitly wires Mod-b/i/u/e, Mod-Alt-1/2/3, Mod-Shift-8/7/x/t, and Mod-k. Mod-k (base.ts:76-82) calls this.options.onRequestLink when present, i.e. it IS wired to the prompt flow. Separately chip.ts:431-441 ALSO binds Mod-k, returning false when no chip is at the selection so it falls through to the link handler; this shared keybinding is fragile and undocumented.","spec-corrected","n/a","SPEC-ERROR: story expected_behaviour to be corrected per audit. Spec-corrected: code is intentional; the story expected_behaviour was over-claimed (see DEFERRED.md/ERRORS.md). No code defect."
"F-C03-01","C03","Headings, outline & collapse","Stable heading IDs","As a document author, I want each heading to receive a stable identifier, so that outline collapse state and navigation can reliably target the right section.","On any transaction that changes the doc, an appendTransaction plugin walks all heading nodes; any heading lacking a `headingId` attr gets one derived from its position as `heading-${pos.toString(36)}` via setNodeMarkup. The heading attribute is defined on the LashHeading extension (default null) and serializes to/from the DOM as `data-heading-id`. Headings without an assigned id are also given a positional fallback `heading-${pos}` in outline computation.","packages/editor-core/src/plugins/heading-id.ts:7,9-26,31-37; packages/editor-core/src/extensions/heading.ts:6-19; packages/editor-core/src/plugins/outline.ts:103,110","implemented","tested","pass","","none","pending",""
"F-C03-02","C03","Headings, outline & collapse","Outline tree computation","As a writer, I want a structured outline of my document headings, so that I can see and navigate the document hierarchy.","computeOutlineItems scans the doc for heading nodes and produces an ordered OutlineItem[] each carrying headingId, level (default 1), title (textContent or fallback `Heading N`), collapsed flag, descendantCount (count of consecutive deeper headings), hiddenBlockCount (doc-level blocks between this heading and the next same/higher-level heading), and from/to/contentFrom/contentTo positions. getOutlineItems exposes the list. The OutlinePanel renders an ordered list, indenting entries by (level-1)*1.1rem and showing a meta label `{descendantCount} sections · {hiddenBlockCount} blocks`. EditorWorkspace republishes the outline on doc/selection changes, deduping with sameOutlineItems.","packages/editor-core/src/plugins/outline.ts:88-157,354-357; apps/web/components/editor/panels/OutlinePanel.tsx:30-67; apps/web/components/editor/EditorWorkspace.tsx:663-679","implemented","tested","pass","","none","pending",""
"F-C03-03","C03","Headings, outline & collapse","Collapse / expand a heading section","As a writer, I want to collapse a heading to hide its content, so that I can focus on document structure.","toggleHeadingCollapse(headingId) toggles the id in the collapsedIntent set and dispatches a 'set-collapsed' meta transaction. Collapsed sections produce hidden ranges (contentFrom..contentTo) which become `lash-hidden-block` node decorations on every block in range, visually hiding section content. The OutlinePanel toggle button shows ▶ when collapsed / ▼ when expanded, sets aria-expanded and data-collapsed, and calls onToggle which routes to lashCommands.toggleHeadingCollapse. isHeadingCollapsed/getCollapsedHeadingIds expose collapse state.","packages/editor-core/src/plugins/outline.ts:70-74,159-181,279-320,359-367; apps/web/components/editor/panels/OutlinePanel.tsx:43-52; apps/web/components/editor/EditorWorkspace.tsx:963-969","implemented","tested","pass","","none","pending",""
"F-C03-04","C03","Headings, outline & collapse","Expand all headings","As a writer, I want to expand every collapsed heading at once, so that I can quickly reveal the entire document.","expandAllHeadings command checks the collapsedIntent set; if empty it returns true as a no-op, otherwise it dispatches a 'set-collapsed' meta with an empty collapsedIds array, clearing all collapse state including ids for headings not currently present in the doc.","packages/editor-core/src/plugins/outline.ts:321-339","implemented","verified","partial","[ux/medium] The expandAllHeadings command logic is correct and matches the story's acceptance criteria: at outline.ts:321-339 it reads pluginState.collapsedIntent (the unfiltered intent set, not the doc-filtered visible `collapsed` set), no-ops returning true when the intent set is empty, and otherwise dispatches a 'set-collapsed' meta with collapsedIds:[] which clears all collapse state including ids for headings no longer present in the doc. The command is exposed via lashCommands.expandAllHeadings (commands.ts:60-68). However, it is NOT wired to any user-facing affordance: a grep of apps/web and packages for expandAllHeadings / 'Expand all' / 'expand-all' returned only the two definition sites (commands.ts and outline.ts) and zero callers. OutlinePanel.tsx:25-29 renders only an <h2> 'Outline' title in its header (no expand-all button); the toolbar config (toolbar.ts) has no expand-all entry. A returning user with collapsed sections can only expand them one at a time. The user story's goal ('expand every collapsed heading at once') is unreachable through the UI.","fixed","pass",""
"F-C03-05","C03","Headings, outline & collapse","Caret safety on collapse","As a writer, I want my cursor moved out of a section when I collapse it, so that the caret never lands inside hidden content.","When a heading is collapsed, findNextVisiblePosition locates the first heading whose `from` is at/beyond the collapsed range's contentTo (skipping nested children) and the selection is moved there via PMSelection.near(resolved, 1). If no following visible heading exists, the caret falls back to a position inside the still-visible collapsed heading itself (min(target.from+1, doc.content.size)) to avoid searching backward into hidden content.","packages/editor-core/src/plugins/outline.ts:198-224,301-310","implemented","tested","pass","","none","pending",""
"F-C03-06","C03","Headings, outline & collapse","Collapse-state persistence (intent set)","As a returning user, I want my collapsed sections to survive page reloads and content re-loads, so that my document view stays consistent.","The plugin tracks two sets: collapsedIntent (every id the user collapsed, even if absent from the current doc) and collapsed (intent ∩ current heading ids, used for decorations/UI). On apply, when a set-collapsed meta arrives or the intent set changes, it saves Array.from(collapsedIntent) via the persistence adapter; on init it loads ids for the documentId. The web app wires createLocalStorageOutlinePersistence(window.localStorage) keyed by activeDocumentId, storing JSON under `lash-outline:{docId}`. A memory adapter (Map-backed) is also provided. localStorage adapter guards against undefined storage and catches/logs JSON errors, returning [] on failure.","packages/editor-core/src/plugins/outline.ts:27-38,230-254,343-351; packages/editor-core/src/persistence/outline-persistence.ts:3-48; apps/web/components/editor/EditorWorkspace.tsx:536-542,557-564","implemented","tested","pass","","none","pending",""
"F-C03-07","C03","Headings, outline & collapse","Jump to heading from outline","As a writer, I want to click an outline entry to jump to that heading, so that I can navigate long documents quickly.","The OutlinePanel jump button (aria-label `Jump to {title}`) calls onFocus(item). EditorWorkspace's handleFocusHeading chains focus().setTextSelection({from: item.from, to: item.from}).scrollIntoView(), placing the caret at the heading start and scrolling it into view.","apps/web/components/editor/panels/OutlinePanel.tsx:53-64; apps/web/components/editor/EditorWorkspace.tsx:971-982","implemented","tested","pass","","none","pending",""
"F-C04-01","C04","Markdown import/export & hotkeys","Markdown import (parseMarkdownToDoc)","As a writer, I want to import a Markdown file into the editor, so that I can bring existing Markdown content into a Lash document.","parseMarkdownToDoc(markdown) parses text via unified+remark-parse+remark-gfm and walks the mdast tree. It converts headings (clamped to levels 1-3), paragraphs, bullet/ordered/task lists (start attr preserved for ordered), tables, and inline marks (bold->strong, italic->emphasis, inlineCode->code mark, links with href). Reference-style image and link definitions are collected into a definitions map and applied. Hard breaks become hardBreak nodes. Empty input yields a doc with a single empty paragraph. Returns { doc: JSONContent, warnings: string[] }.","packages/editor-core/src/markdown/index.ts:349-376, packages/editor-core/src/markdown/index.ts:278-347, packages/editor-core/src/markdown/index.ts:55-140","implemented","tested","pass","","none","pending",""
"F-C04-02","C04","Markdown import/export & hotkeys","Markdown table import","As a writer, I want GFM tables in my Markdown to import as editable tables, so that tabular data survives the import.","convertTable maps each mdast TableRow to a tableRow; the first row becomes tableHeader cells and subsequent rows tableCell, each with attrs { colspan:1, rowspan:1, colwidth:null }. Cell inline content is converted (allowImages=true) and wrapped via ensureParagraph so each cell holds at least one paragraph. Produces a ProseMirror 'table' node.","packages/editor-core/src/markdown/index.ts:218-249, packages/editor-core/src/markdown/index.ts:316-317","implemented","tested","pass","","none","pending",""
"F-C04-03","C04","Markdown import/export & hotkeys","Import warnings for unsupported constructs","As a writer, I want to be warned when Markdown features can't be fully represented, so that I understand what changed on import.","Unsupported/lossy nodes add deduplicated warning strings: code blocks become plain paragraphs, blockquotes are flattened, thematic breaks (HR) are removed, HTML blocks/snippets are stripped, strikethrough (delete) becomes plain text, images inside headings become alt text, and missing image reference definitions warn. Warnings are returned as an array. In the UI (EditorWorkspace.showWarnings) non-empty warnings are console.warn'd and shown via window.alert.","packages/editor-core/src/markdown/index.ts:101-138, packages/editor-core/src/markdown/index.ts:318-345, apps/web/components/editor/EditorWorkspace.tsx:1220-1228","implemented","tested","pass","","none","pending",""
"F-C04-04","C04","Markdown import/export & hotkeys","Markdown export (serializeDocToMarkdown)","As a writer, I want to export my document to Markdown, so that I can use it outside Lash.","serializeDocToMarkdown(doc) converts the ProseMirror JSON to mdast and stringifies via remark-stringify with options { bullet:'-', fences:true, listItemIndent:'one' } plus remark-gfm. Handles headings (depth clamped 1-3), paragraphs, bullet/ordered/task lists (ordered start preserved, task checked state), tables, and inline marks (bold->strong, italic->emphasis, link->link, code mark->inlineCode). Underline marks export as emphasis with a warning. Images are emitted as reference-style images with collected definitions appended to the document root. Returns { markdown, warnings }.","packages/editor-core/src/markdown/index.ts:599-634, packages/editor-core/src/markdown/index.ts:467-597, packages/editor-core/src/markdown/index.ts:383-419","implemented","verified","partial","[bug/low] In serializeDocToMarkdown, convertTableToMdast extracts each table cell's inline content via cell.content?.[0]?.content (index 0 only), so it reads only the inline children of the FIRST block of a cell. If a table cell contains multiple paragraphs or a non-paragraph block (a user can create a second paragraph in a cell with Enter), the additional blocks are silently dropped with no warning, causing data loss on export. Code-block export is also unhandled (no codeBlock case in convertDocNodeToMdast, lines 472-516; unsupported nodes fall to the default branch and emit an empty paragraph + 'Unsupported node' warning), but code blocks are not in the schema so that part is genuinely minor.","fixed","pass",""
"F-C04-05","C04","Markdown import/export & hotkeys","Image reference round-trip via definitions","As a writer, I want images preserved across Markdown export, so that image references aren't lost.","On export, convertImageToMdast deduplicates images by src, assigns ids like 'image-N', emits imageReference nodes (referenceType 'full'), and appends matching definition nodes (identifier/label/url) to the document root so remark-stringify produces reference-style image syntax with link definitions. On import, those definitions are resolved back to inline image nodes (src/alt).","packages/editor-core/src/markdown/index.ts:447-465, packages/editor-core/src/markdown/index.ts:615-622, packages/editor-core/src/markdown/index.ts:156-187","implemented","tested","pass","","none","pending",""
"F-C04-06","C04","Markdown import/export & hotkeys","Import .md file via toolbar button + hidden file input","As a user, I want an Import button that lets me pick a .md file and load it, so that importing is a one-click action.","The MarkdownIO toolbar renders an upload icon button (data-testid markdown-import-button) that calls onImportClick, which clicks a hidden file input (accept='.md,text/markdown'). On file change, handleMarkdownFileChange reads file.text(), clears the input value, runs parseMarkdownToDoc, replaces editor content via editor.commands.setContent(doc, false), and surfaces warnings.","apps/web/components/editor/panels/MarkdownIO.tsx:26-57, apps/web/components/editor/EditorWorkspace.tsx:1216-1241, apps/web/components/editor/EditorWorkspace.tsx:1614-1618","implemented","tested","pass","","none","pending",""
"F-C04-07","C04","Markdown import/export & hotkeys","Export .md file download via toolbar button","As a user, I want an Export button that downloads my document as Markdown, so that I can save it locally.","The MarkdownIO download icon button (data-testid markdown-export-button, disabled when exportDisabled) calls onExportClick. handleExportMarkdown serializes editor.getJSON(), shows warnings, stashes the result on window.__lashLastExport (for tests), then creates a Blob (text/markdown), an object URL, and a temporary anchor with download='document.md' that is clicked to trigger the download, then cleaned up.","apps/web/components/editor/panels/MarkdownIO.tsx:38-48, apps/web/components/editor/EditorWorkspace.tsx:1243-1262","implemented","tested","pass","","none","pending",""
"F-C04-08","C04","Markdown import/export & hotkeys","Markdown shorthand input-rule hotkeys","As a writer, I want typing Markdown shorthand (e.g. '# ', '- ', '1. ', '**bold**') to auto-format, so that I can format without the toolbar.","Markdown shorthand is provided by TipTap input rules, not custom code in this cluster: StarterKit supplies bullet list ('- '/'* '), ordered list ('1. '), inline code (backticks), bold ('**'), and italic ('*') rules, and LashHeading (extends TipTap HeadingExtension, levels 1-3) supplies the '#'/'##'/'###' heading rule. These are wired via createLashEditorExtensions in schema/base.ts. No Lash-specific markdown input-rule code exists; behaviour is inherited from the configured extensions.","packages/editor-core/src/schema/base.ts:143-164, packages/editor-core/src/extensions/heading.ts:4","implemented","tested","pass","","none","pending",""
"F-C05-01","C05","Tables (cells/nav/copy-paste/perf)","Custom cell types (text / status / select)","As a document author, I want to assign a cell type of text, status, or select to table cells, so that I can capture structured data like task status alongside free text.","Each table cell carries cellType ('text'|'status'|'select'), value, and options attributes. setSelectionCellType (wired via lashCommands.setTableCellType) updates every selected cell: switching to 'text' clears options and restores the prior value as paragraph text content; switching to 'status'/'select' applies provided options or, when none are given, falls back to defaults (status: Todo/In Progress/Done; select: Option A/B/C). Cell attrs persist to HTML as data-cell-type / data-cell-value / data-cell-options (options JSON-encoded) and round-trip back via parseHTML. The node view sets display value to the stored value if it is in the option list, else the first option. Non-text cells hide their contentDOM and show a control button.","packages/editor-core/src/table/types.ts:1,16,17,25; packages/editor-core/src/table/commands.ts:29-72; packages/editor-core/src/commands.ts:80-82; packages/editor-core/src/extensions/table/index.ts:183-240,647-672; apps/web/components/editor/panels/TableCellPanel.tsx:14-49; apps/web/components/editor/EditorWorkspace.tsx:855,904","implemented","tested","pass","","none","pending",""
